"Name of Satellite, Alternate Names",Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,,-62.43,"35,768","35,809",4.86E-04,0.02,1436.11,"3,180","1,600","2,300 (EOL)",3/8/2002,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-011A,27389,"Tracking and communications with space shuttle, other missions.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx581.html,http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html,http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html,http://nmsp.gsfc.nasa.gov/tdrss/tconst.html,,,
TecSAR (Polaris),Israel,Defense Ministry,Military,Reconnaissance,LEO,,,405,580,1.28E-02,41.03,94.5,300,260,,1/21/2008,,Israel Aerospace Industries (IAI),Israel,Sriharikota Launch Station,PSLV-C10,2008-002A,32476,Radar reconnaissance; one meter resolution. Said to carry a Synthetic Aperture Radar (SAR).,,,http://www.iai.co.il/Default.aspx?docID=32812&amp;FolderID=15911&amp;lang=en&amp;res=0&amp;pos=0,http://nssdc.gsfc.nasa/gov/spacewarn/spx651.html,http://www.williambowles.info/isrl-pal/vtjp/2008/0108/vtjp_210108.html,,,,
Telecom 2C ,France,France Telecom,Military/Commercial,Communications,GEO,,+2.94,"35,762","35,809",5.57E-04,4.69,1436.08,"2,283","1,100",,12/6/1995,10 yrs.,Matra Marconi Space (Astrium),France,Guiana Space Center,Ariane,1995-067A,23730,Commercial telecommunications but also carries the Syracuse II military payload for communications in X-band; will be replaced by Syracuse III dedicated military communications satellite system.,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx506.html,eurespace.online.fr/Bulletin/francetelecom.htm ,,,,
Telecom 2D ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT) - leased from France Telecom,Commercial,Communications,GEO,,-7.89,"35,761","35,812",6.05E-04,2.41,1436.1,"2,275","1,100",,8/8/1996,10 yrs.,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,1996-044B,24209,Television and multimedia services to French-speaking regions of Europe; possible partial French military use of X-band.,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx514.html,http://www.eutelsat.com/satellites/4_1.html,,,,
Telkom 1 ,Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,,+108.01,"35,778","35,796",2.13E-04,0.02,1436.13,"2,763","1,700 (BOL)","4,000",8/12/1999,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 44P,1999-042A,25880,TV broadcasting in Indonesia.,,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx550.html,http://www.sat-address.com/tt/TelkomVision.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/www/space.40/1999/042A.HTM,,
Telkom 2,Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,,+118.02,"35,781","35,793",1.42E-04,0.04,1436.1,"1,930",899,,11/16/2005,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2005-046A,28902,"24 C-band transponders; internet, data, voice and video services to Indonesia.",,JM/12_08,http://english.people.com.cn/200511/18/eng20051118_222343.html,http://www.orbital.com/Template.php?Section=News&NavMenuID=32&template=PressReleaseDisplay.php&PressReleaseID=533,http://www.orbital.com/SatellitesSpace/GEO/TELKOM/,http://www.lib.cas.cz/www/space.40/2005/046B.HTM,,,
Telstar 11N,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-37.05,"35,774","35,801",3.20E-04,0.04,1436.13,"4,010",,,2/26/2009,15 yrs.,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit-3SLB,2009-009A,34111,"39 Ku-band transponders; North America, Europe, Africa, across Atlantic.",,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx664.html,http://www.telesat.ca/File/B594215A79394AD69A24FA7A237275E7,,,,,
Telstar 12 (Orion 2),Multinational,Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,GEO,,-14.99,"35,773","35,799",3.08E-04,0.05,1436.09,"3,878","1,900","10,600",10/19/1999,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,1999-059A,25949,"Voice and video communications to the Americas, Europe, and Africa",,JM/12_08,http://www.eutelsat.com/satellites/4_1.html,http://www.loralglobalalliance.com/fleet/loral_skynet/lor_foot_us.asp.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx552.html,,,,
Telstar 18 (Apstar 5),Multinational,Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,+138.04,"35,778","35,795",2.02E-04,0.01,1436.1,"4,640","2,500","16,000 (EOL)",6/29/2004,13 yrs.,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit-3SL,2004-024A,28364,54 active transponders; one of the most powerful communications satellites built to date; coverage across East Asia and the Pacific Ocean,,JM/12_08,http://www.loralglobalalliance.com/fleet/loral_skynet/lor_overview_us.asp.html,http://www.intelsat.com/news/releases/press/2003-26.asp,http://www. Universetoday.com/am/publish/sea_launch_sends_telstar_18.html,http://www.spacenewsfeed.co.uk/2004/29August2004_4.html,http://www.lib.cas.cz/knav/space.40/2004/024A.HTM,,
TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band),Germany,German Aerospace Center (DLR)/Infoterra,Government/Commercial,Remote Sensing,LEO,,,500,517,1.24E-03,97.45,94.79,"1,230",,,6/15/2007,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2007-026A,31698,"X-band radar system; monitor vegetation and crops across the globe, and special emphasis will be placed on keeping tabs on environmental changes. Commercial sale to business and military clients as well.",,,http://www.spaceflightnow.com/news/n0706/15terrasarx/,http://www.linca.cas.cz/www/space.40/2007/026A.HTM,http://en.wikipedia.org/wiki/TerraSAR-X,,,,
TES (Technology Experiment Satellite),India,Indian Space Research Organization,Government/Military,Remote Sensing/Photo Reconnaissance,LEO,,,552,671,8.52E-03,97.7,96.92,"1,108",,,10/22/2001,3 yrs.,ISRO Satellite Center,India,Sriharikota Launch Station,PSLV-C3,2001-049A,26957,"Takes high resolution photos of anything over 3 feet; called prototype for India's ""spy satellite.""",,JMSatcat304,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html,http://news.bbc.co.uk/1/hi/world/south_asia/1679321.stm,http://www.lib.cas.cz/www/space.40/2001/049A.HTM,,,
Thaicom-1A (Thaicom 1),Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,,+119.94,"35,773","35,802",3.44E-04,0.1,1436.16,"1,080",629 (BOL),800,12/18/1993,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1993-078B,22931,"12 C-band, 3 Ku-band; Southeast Asia, Korea, Japan, east coast of China.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx482.html,http://www.thaicom.net/enGalaxy-thaicomsatellite/thaicom1A.html,,,,
Thaicom-2 ,Thailand,Thaicom Public Company Ltd.,Commercial,Communications,GEO,,+78.53,"35,759","35,814",6.52E-04,0.14,1436.11,"1,080",629 (BOL),800,10/8/1994,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1994-065B,23314,"12 C-band, 3 Ku-band; Southeast Asia, Korea, Japan, east coast of China.",,JM/12_08,,http://nssdc.gsfc.nasa.gov/spacewarn/spx492.html,http://www.thaicom.net/enGalaxy-thaicomsatellite/thaicom2.html,,,,
Thaicom-4 (Ipstar 1),Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,,+119.50,"35,775","35,798",2.73E-04,0,1436.1,"6,505",,"14,000",8/11/2005,12 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5G,2005-028A,28786,"84 Ku-band and 18-Ka band transponders, voice, video and broadband to 14 countries.",,JM/12_08,http://www.thaicom.net/enGalaxy-press/news-press.html,http://nssdc.gsfc.nasa/gov/spacewarn/spx622.html,http://www.ipstar.com/en/ipstar_desc.asp,http://www.lib.cas.cz/www/space.40/2005/028A.HTM,,,
Thaicom-5,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,,+78.54,"35,777","35,796",2.25E-04,0.04,1436.1,"2,800","1,220","5,000",5/27/2006,12 yrs.,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5ECA,2006-020B,29163,Television and Internet services to the Asia-Pacific region; 25 C-band and 14 Ku-band transponders.,,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx631.html,http://www.spaceref.com/news/viewpr.html?pid=17335,http://www.lib.cas.cz/www/space.40/2006/020B.HTM,http://www.arianespace.com/site/news/mission_up_304.html,,,
THEMIS 1 (Time History of Events and Macroscale Interactions during Substorms) ,International,"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Physics,Elliptical,,,461,"87,304",8.64E-01,15.7,1868.98,126,77,40,2/17/2007,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004A,30580,Five phase mission to study earth's auroras.,,SC - ASCR,http://www.swales.com/spacecraft/themis.html,http://ds9.ssl.berkeley.edu/themis/no_flash.html,http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html,http://www.nasa.gov/mission_pages/themis/mission/index.html,,,
THEMIS 2 (Time History of Events and Macroscale Interactions during Substorms) ,International,"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Physics,Elliptical,,,458,"87,298",8.64E-01,15.7,1868.73,126,77,40,2/17/2007,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004B,30581,Five phase mission to study earth's auroras.,,SC - ASCR,http://www.swales.com/spacecraft/themis.html,http://ds9.ssl.berkeley.edu/themis/no_flash.html,http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html,http://www.nasa.gov/mission_pages/themis/mission/index.html,,,
THEMIS 3 (Time History of Events and Macroscale Interactions during Substorms) ,International,"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Physics,Elliptical,,,459,"87,054",8.64E-01,15.68,1861.94,126,77,40,2/17/2007,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004C,30582,Five phase mission to study earth's auroras.,,SC - ASCR,http://www.swales.com/spacecraft/themis.html,http://ds9.ssl.berkeley.edu/themis/no_flash.html,http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html,http://www.nasa.gov/mission_pages/themis/mission/index.html,,,
THEMIS 4 (Time History of Events and Macroscale Interactions during Substorms) ,International,"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Physics,Elliptical,,,467,"87,260",8.64E-01,15.7,1867.91,126,77,40,2/17/2007,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004D,30583,Five phase mission to study earth's auroras.,,SC - ASCR,http://www.swales.com/spacecraft/themis.html,http://ds9.ssl.berkeley.edu/themis/no_flash.html,http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html,http://www.nasa.gov/mission_pages/themis/mission/index.html,,,
THEMIS 5 (Time History of Events and Macroscale Interactions during Substorms) ,International,"NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Physics,Elliptical,,,474,"87,526",8.64E-01,15.7,1875.53,126,77,40,2/17/2007,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004E,30584,Five phase mission to study earth's auroras.,,SC - ASCR,http://www.swales.com/spacecraft/themis.html,http://ds9.ssl.berkeley.edu/themis/no_flash.html,http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html,http://www.nasa.gov/mission_pages/themis/mission/index.html,,,
Theos,Thailand,Geo-Informatics and Space Technology Development Agency (GISTDA),Government,Earth Observation,LEO,,,620,700,5.69E-03,98.8,101.4,715,,840,10/1/2008,5 yrs.,EADS Astrium,France,Dombarovskiy Launch Facility,Dnepr,2008-049A,33396,Natural resources survey satellite.,,SC - ASCR,http://www.space-talk.com/ForumE/showthread.php3?threadid=4543,,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=article&sid=1174&mode=thread&order=0,,,,
THEOS (Thailand Earth Observation System),Thailand,,Government,Remote Sensing,LEO,Sun-Synchronous,,824,826,1.39E-04,98.78,101.41,750,670,,10/1/2008,,EADS Astrium,France,Yasni Space Base,Dnepr,2008-049A,33396,"Panchromatic imager with 2M resolution; applications in cartography, land use, agricultural monitoring, forestry management, coastal zone monitoring and flood risk management.",,SC - ASCR 1/09,http://www.astrium.eads.net/en/families/satellite-navigation-sensing-gps-meteorology/remote-sensing/theos,,http://www.lib.cas.cz/space.40/2008/I065B.HTM,,,,
Thor-3 ,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,,-0.83,"35,777","35,795",2.13E-04,0.07,1436.07,"1,400",646,"1,400",6/10/1998,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta II,1998-035A,25358,"14 Ku-band; Nordic region, central and eastern Europe.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx536.html,http://www.thor-satellites.com,,,,
Thor-5 (Thor 2R),Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,,-0.72,"35,773","35,798",2.97E-04,0.01,1436.1,"2,024",,,2/11/2008,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton-M,2008-006A,32487,"25 Ku-band transponders; direct-to-home and Internet to Scandinavia, eastern Europe, Middle East.",,JM/12_08,http://www.lib.cas.cz/space.40/2008/006A.HTM,http://nssdc.gsfc.nasa/gov/spacewarn/spx652.html,http://www.telenorsbc.com/templates/Page.aspx?id=601,,,,
Thuraya 2 ,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,,+44.13,"35,764","35,807",5.10E-04,2.99,1436.07,"5,250","3,200","11,000",6/10/2003,12 yrs.,Hughes Space and Communications Group,USA,Sea Launch (Odyssey),Zenit -3SL,2003-026A,27825,"Capacity for 13,750 simultaneous calls; voice, fax, data transmissions from/to mobile telephones; Middle East, North and Central Africa, Europe, Central Asia and the Indian subcontinent.",,JM/12_08,http://www.thuraya.com/corporate/newsroom/2003/thuraya2-launched.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx596.html,http://www.thuraya.com/tech/,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Thuraya 3,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,,+98.60,"35,766","35,807",4.86E-04,5.84,1436.1,"5,180",,,1/15/2008,12 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit-3SL,2008-001A,32404,"Mobile phone communication in eastern Asia, Middle East, Australia.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx651.html,http://www.thuraya.com/content/mission-profile-4.html,,,,,
"TianLian 1 (TL-1-01, CTDRS)",China (PR),Chinese Academy of Space Technology (CAST),Government,Communications,GEO,,+77.08,"35,769","35,813",5.22E-04,0.06,1436.08,"3,750",,,4/25/2008,,Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3C,2008-019A,32779,"China's first data relay satellite, will cover Shenzhou missions.Supports near real-time communication.",,JM/12_08,http://www.lib.cas.cz/space.40/2008/I017A.HTM,http://www.sinodefence.com/strategic/spacecraft/tianlian1.asp,http://www.bjreview.com.cn/science/txt/2008-05/12/content_116255.htm,,,,
TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics),USA,"NASA/Applied Physics Laboratory, Johns Hopkins",Government/Civil,Astrophysics,LEO,Intermediate,,626,627,7.15E-05,74,97.24,587,,406,12/7/2001,2 yrs.,"Applied Physics Laboratory, Johns Hopkins",USA,Vandenberg AFB,Delta 2,2001-055B,26998,Study influences of the sun and humans on the least explored and understood region of Earth's atmosphere – the Mesosphere and Lower Thermosphere/Ionosphere (MLTI).,,JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx578.html,http://www.timed.jhuapl.edu/mission2/index.html,,,,
Topsat,United Kingdom,Ministry of Defence/British National Space Centre,Government,Technology Development/Earth Observation,LEO,Sun-Synchronous,,682,707,1.77E-03,98.19,98.66,120,,,10/27/2005,,QinetiQ/Surrey Satellite Technology Ltd.,United Kingdom,Plesetsk Cosmodrome,Cosmos 3M,2005-043B,28891,"Low-cost, high resolution images.",,SC - ASCR,http://news.eoportal.org/eomissions/051031_topsat.html,http://www.lib.cas.cz/www/space.40/2005/043B.HTM,http://www.sstl.co.uk/index.php?loc=114,http://www.sstd.rl.ac.uk/Topsat/Technical_Information.htm,,,
TRACE (Transition Region and Coronal Explorer),USA,Goddard Space Flight Center (NASA),Government,Astrophysics,LEO,Sun-Synchronous,,597,642,3.22E-03,97.8,97.09,213,,200,4/2/1998,1 yr.,Lockheed Martin,USA,Vandenberg AFB,Pegasus,1998-020A,25280,Coordinates with SOHO; image the solar corona and transition region at high angular and temporal resolution.,,JMSatcat304,http://www.kc4cop.bizland.com/NASA_Current_Missions.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx534.html,http://vestige.lmsal.com/TRACE/,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
TRMM (Tropical Rainfall Measuring Mission),Japan/USA,National Space Development Agency(NASA)/Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,LEO,Intermediate,,345,347,1.49E-04,34.9,91.45,"3,820",,850,11/27/1997,3 yrs.,NASA/Goddard Space Flight Center,USA,Tanegashima Space Center,H2,1997-074A,25063,Joint mission to measure rainfall in tropical areas; to operate through spring of 2005.,,JMSatcat304,http://earthobservatory.nasa.gov/Library/TRMM/,http://spaceflightnow.com/news/n0104/10trmm/,http://www.nasda.go.jp/projects/sat/trmm/index_e.html,http://trmm.gsfc.nasa.gov/publications_dir/breaking_news.html,,,
Trumpet 1 (USA 103),USA,National Reconnaissance Office (NRO)/USAF,Military,Surveillance,Elliptical,Molniya,,"1,628","38,728",6.99E-01,63,717.8,"8,000",,,5/3/1994,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IV,1994-026A,23097,Signals intelligence; surveillance of cellular phones.,,JMSatcat304,http://www.hartford-hwp.com/archives/27c/289.html,http://host.planet4589.org/space/jsr/back/news.342,http://www.msnbc.com/news/185953.asp#BODY,http://www.fas.org/irp/news/1998/06/980606-sigint.htm,http://www.lib.cas.cz/www/space.40/1994/026A.HTM,,
Trumpet 2 (USA 112),USA,National Reconnaissance Office (NRO)/USAF,Military,Electronic Surveillance,Elliptical,Molniya,,"1,575","38,780",7.01E-01,63.4,717.78,"8,000",,,7/10/1995,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IV,1995-034A,23609,Signals intelligence; surveillance of cellular phones.,,JMSatcat304,http://www.lib.cas.cz/www/space.40/1994/026A.HTM,http://www.drumbeat.mlaterz.net/October%202002/Tracking%20Saddam%20100102a.htm,http://www.msnbc.com/news/185953.asp#BODY,http://www.fas.org/irp/news/1998/06/980606-sigint.htm,,,
Trumpet 3 (USA 136),USA,National Reconnaissance Office (NRO)/USAF,Military,Electronic Surveillance,Elliptical,Molniya,,"1,210","38,740",7.12E-01,64.7,709.61,"8,000",,,11/8/1997,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1997-068A,25034,Signals intelligence; surveillance of cellular phones.,,JMSatcat304,http://www.lib.cas.cz/www/space.40/1997/068A.HTM,http://www.drumbeat.mlaterz.net/October%202002/Tracking%20Saddam%20100102a.htm,http://www.msnbc.com/news/185953.asp#BODY,http://www.fas.org/irp/news/1998/06/980606-sigint.htm,,,
Tselina-2 (Cosmos 2428),Russia,Ministry of Defense,Military,Electronic surveillance,LEO,Intermediate,,850,880,2.07E-03,71,101.96,"3,200",,,6/29/2007,,KB Yuznoye,Ukraine,Baikonur Cosmodrome,Zenit-2M,2007-029A,31792,ELINT; likely the last satellite of this class; to be replaced by Liana system.,,,http://russianforces.org/blog/2007/06/launch_of_cosmos2428_the_last.shtml,http://www.planet4589.org/space/jsr/back/news.582,,,,,
Turksat 1C ,Turkey,Turksat,Commercial,Communications,GEO,,+31.07,"35,769","35,802",3.91E-04,0.67,1436.05,"1,743","1,078","2,900",7/9/1996,12 yrs.,Aerospatiale,France,Guiana Space Center,Ariane 44L,1996-040B,23949,16 Ku-band transponders; radio and TV communications to Turkey and neighboring countries.,,JM/12_08,http://www.turkishdailynews.com/old_editions/05_06_98/feature.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx513.html,http://www.frontierstatus.com/fs0085.shtml,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Turksat 3A,Turkey,Turksat,Commercial,Communications,GEO,,+42.04,"35,778","35,793",1.78E-04,0.01,1436.06,"3,100","1,272","8,100",6/12/2008,,Thales Alenia Space,France,Guiana Space Center,Ariane 5ECA,2008-030B,33056,24 Ku-band transponders; television service to Turkey.,,JM/12_08,http://www.turksat.com.tr/english/index.php/News/Announcements/Turksat-3A-transferred-to-launch-site-in-Kourou.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx656.html,http://www.lib.cas.cz/space.40/2008/I030B.HTM,,,,
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,,+72.67,"35,738","35,834",1.14E-03,1.97,1436.1,"3,200","1,540","3,800 (EOL)",11/24/1999,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1999-063A,25967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/www/space.40/1999/063A.HTM,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,
"UFO-11  (USA 174) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,,+71.44,"35,786","35,787",1.19E-05,2.16,1436.1,"3,200","1,545","2,800 (EOL)",12/18/2003,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3,2003-057A,28117,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.spaceflightnow.com/atlas/ac203/031211uhfprogram.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx602.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,,-177.12,"35,763","35,775",1.42E-04,3.34,1435.22,"3,200","1,545","2,800 (EOL)",1/29/1995,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,
"UFO-5 (USA 111, UFO F5 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,,-99.10,"35,725","35,848",1.46E-03,4.97,1436.11,"3,200","1,545","2,800 (EOL)",5/31/1995,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-027A,23589,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,
"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,,-105.50,"35,744","35,829",1.01E-03,4.11,1436.12,"3,200","1,545","2,800 (EOL)",10/22/1995,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-057A,23696,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,,-21.91,"35,738","35,835",1.15E-03,3.79,1436.11,"3,200","1,545","2,800 (EOL)",7/25/1996,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1996-042A,23967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,,+172.28,"35,772","35,794",2.61E-04,5.24,1435.94,"3,206","1,545","3,800 (EOL)",3/16/1998,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1998-016A,25258,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,
